handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Product,LED Wall Lights With Switch and USB,<p>Bulbs Included: Yes<br>Shade Direction: Down<br>Is Dimmable: No<br>Base Type: Wedge<br>Voltage: 90-260V<br>Power Source: AC<br>Switch Type: Knob switch<br>&nbsp;Body Material: Iron<br>Shade Material: Iron<br>Model Number: 8736<br>Light Source: LED&nbsp;<br>Style: Modern<br>Features: Wall light with switch and USB port<br>Usage: Daily Lighting<br>Installation Type: Wall Mounted<br>Item Type: Wall Lamp<br>Warranty: 2 years<br>Number of light sources: &gt; 20<br>Lighting Area: 1-3 square meters</p>,ec1c18_b5719228e44648f6ab19d6d0b96f6a5c~mv2.jpg;ec1c18_a27d0642dd4b4decaf3959d5aa74483a~mv2.jpg;ec1c18_0221e01026a449f5ba63eebf68b907a7~mv2.jpg;ec1c18_b7b24acb4acc49cd9dde04c994957eb4~mv2.jpg;ec1c18_9c0e1896df6b442aab975d9ef2940c06~mv2.jpg;ec1c18_a352e757ec81481a82bd0aeb3b54b6a6~mv2.jpg;ec1c18_cb501b1504e64379973993b1fce618c3~mv2.jpg;ec1c18_7dab5f0e465b4127a08d7dc6f550dcc8~mv2.jpg;ec1c18_5a18d3ce22f64ec782414f3aeecf335e~mv2.jpg;ec1c18_572523087a534a4692a1b8caa4638aa5~mv2.jpg;ec1c18_9ea7820bff4c45b09e2470836900a7ff~mv2.jpg;ec1c18_b8d7b10798d04005ba1a9fd607e88f90~mv2.jpg;ec1c18_21944ea135824be49f35ebf132478b61~mv2.jpg;ec1c18_b990d7ddb332471d99e6ca133fcdbe30~mv2.jpg;ec1c18_00ef0945945646339ff810b16b3b18e1~mv2.jpg;ec1c18_1d98eba479ed43208bae3f5d5b5ce25a~mv2.jpg;ec1c18_c7b6670298cb436da07cfa1ce54266a7~mv2.jpg;ec1c18_ffe58469f04e41b1894f46fbd9e50e2c~mv2.jpg,Lighting,4000729674611,,40.0,,true,PERCENT,0.0,0,0.0,Select Style,DROP_DOWN,C USB flower black;01 Black no USB;04 White USB Left;04 White USB Right;D USB flower black;02 White USB;03 black USB;F USB flower black;B USB flower white;E USB flower white;05 Black USB Right;A USB flower white;05 Black USB Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,46.0,true,,,6914,,,,A USB flower white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,36.0,true,,,6988,,,,F USB flower black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,28.0,true,,,48,,,,04 White USB Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,28.0,true,,,6680,,,,05 Black USB Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,46.0,true,,,6899,,,,B USB flower white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,28.0,true,,,6697,,,,05 Black USB Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,46.0,true,,,6905,,,,D USB flower black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,36.0,true,,,6969,,,,E USB flower white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,18.0,true,,,6549,,,,02 White USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,46.0,true,,,6892,,,,C USB flower black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,0.0,true,,,6875,,,,01 Black no USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,18.0,true,,,6587,,,,03 black USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b1e5c6a0-9852-4117-9bab-dfea49fa86cb,Variant,,,,,180:200002571#Three Colors-4000729674611,,,28.0,true,,,6699,,,,04 White USB Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
